12,4898,-1,
0,7.0,0.27,0.31,1.1,0.045,45.0,170.0,0.9907,3.0,0.52,9.6,6
1,6.3,0.3,0.25,1.4,0.049,14.0,132.0,0.9975799999999999,3.3,0.35,10.8,6
2,8.1,0.28,0.3,5.7,0.05,30.0,97.0,0.9994,3.26,0.56,10.2,6
3,7.2,0.23,0.29,1.6,0.057999999999999996,47.0,186.0,0.9911,3.19,0.4,8.9,6
4,7.2,0.23,0.31,1.7,0.057999999999999996,47.0,186.0,0.9986,3.19,0.42,11.7,6
5,8.1,0.28,0.34,2.4,0.05,30.0,97.0,0.9963,3.26,0.44,9.9,6
6,6.2,0.32,0.18,14.6,0.045,30.0,136.0,0.9988,3.18,0.38,9.4,6
7,7.0,0.27,0.38,1.3,0.045,45.0,170.0,0.9944,3.0,0.54,8.7,6
8,6.3,0.3,0.33,19.8,0.049,14.0,132.0,0.9949,3.3,0.34,9.0,6
9,8.1,0.22,0.45,7.35,0.044000000000000004,28.0,129.0,0.9925,3.22,0.58,11.0,6
0,8.1,0.27,0.27,1.3,0.033,11.0,63.0,0.99059,2.99,0.52,9.5,5
1,8.6,0.23,0.22,6.6,0.035,17.0,109.0,0.9909,3.14,0.34,11.2,5
2,7.9,0.18,0.28,1.9,0.04,16.0,75.0,0.996,3.18,0.51,10.0,5
3,6.6,0.16,0.22,1.2,0.044000000000000004,48.0,143.0,0.9896299999999999,3.54,0.37,9.1,7
4,8.3,0.42,0.32,1.5,0.04,41.0,172.0,0.99572,2.98,0.4,8.9,5
5,6.6,0.17,0.28,0.9,0.032,28.0,112.0,0.99261,3.25,0.35,9.8,7
6,6.3,0.48,0.33,1.3,0.046,30.0,99.0,0.99282,3.24,0.61,11.5,6
7,6.2,0.66,0.26,2.3,0.028999999999999998,29.0,75.0,0.98992,3.33,0.46,9.3,8
8,7.4,0.34,0.44,1.1,0.033,17.0,171.0,0.9888899999999999,3.12,0.48,10.9,6
9,6.5,0.31,0.24,1.4,0.044000000000000004,34.0,133.0,0.99382,3.22,0.4,8.7,5
0,6.2,0.66,0.28,1.5,0.028999999999999998,29.0,75.0,0.9959,3.33,0.35,11.0,8
1,6.4,0.31,0.29,1.5,0.038,19.0,102.0,1.001,3.17,0.39,10.1,7
2,6.8,0.26,0.28,16.8,0.049,41.0,122.0,0.99769,3.47,0.64,10.0,8
3,7.6,0.67,1.23,1.45,0.07400000000000001,25.0,168.0,0.9911200000000001,3.05,0.46,10.9,5
4,6.6,0.27,0.19,3.0,0.052000000000000005,16.0,142.0,0.99334,3.42,0.41,10.5,6
5,7.0,0.25,0.35,1.6,0.046,56.0,245.0,0.99206,3.25,0.36,9.7,6
6,6.9,0.24,0.24,4.2,0.052000000000000005,35.0,146.0,0.9948,3.45,0.41,13.1,6
7,7.0,0.28,0.58,2.6,0.051,32.0,141.0,0.9938,3.38,0.49,10.2,6
8,7.4,0.27,0.3,14.6,0.047,17.0,132.0,0.9898100000000001,3.19,0.46,8.9,6
9,7.2,0.32,0.2,11.75,0.033,37.0,114.0,0.9954,3.1,0.52,9.6,7
0,8.5,0.24,0.14,7.8,0.044000000000000004,20.0,142.0,0.9984,3.2,0.61,10.1,6
1,8.3,0.14,0.33,10.7,0.042,7.0,47.0,0.9927,3.47,0.8,8.9,6
2,7.4,0.25,0.05,1.6,0.05,31.0,100.0,0.9932,3.19,0.37,10.5,6
3,6.2,0.12,0.37,6.7,0.045,43.0,117.0,0.99098,3.42,0.58,8.8,6
4,5.8,0.27,0.29,12.1,0.044000000000000004,22.0,179.0,0.9976,3.37,0.38,11.4,5
5,7.3,0.28,0.39,12.8,0.08,21.0,123.0,0.99872,3.19,0.41,12.1,5
6,6.5,0.39,0.34,7.8,0.051,25.0,149.0,0.99605,3.24,0.45,9.8,5
7,7.0,0.33,0.46,13.0,0.053,38.0,138.0,0.9917600000000001,3.13,0.4,9.8,6
8,7.3,0.24,0.33,1.5,0.057,45.0,149.0,0.9966,3.21,0.52,12.0,5
9,7.3,0.24,0.33,11.5,0.057,45.0,149.0,0.9977,3.21,0.52,12.5,5
0,6.7,0.23,0.38,15.55,0.172,63.0,158.0,0.9975200000000001,3.11,0.59,10.2,6
1,6.7,0.24,0.3,13.7,0.17300000000000001,63.0,157.0,0.9911,3.1,0.36,10.8,6
2,7.0,0.31,0.74,15.7,0.069,28.0,160.0,0.99521,3.13,0.41,9.4,6
3,6.6,0.24,0.54,3.5,0.057,33.0,152.0,0.9921200000000001,3.22,0.75,10.4,6
4,6.7,0.23,0.24,7.5,0.06,33.0,154.0,0.9925,3.24,0.43,9.4,6
5,7.4,0.18,0.26,12.1,0.057999999999999996,38.0,167.0,0.9934,3.16,0.36,11.7,7
6,6.2,0.45,0.34,13.3,0.063,63.0,206.0,0.9928600000000001,3.27,0.42,9.3,4
7,6.2,0.46,0.45,14.3,0.066,62.0,207.0,0.99179,3.25,0.56,9.0,5
8,7.0,0.31,0.29,2.0,0.069,28.0,160.0,0.99315,3.13,0.5,9.4,6
9,6.9,0.19,0.25,6.7,0.067,32.0,150.0,0.99044,3.36,0.42,9.2,5
0,7.2,0.19,0.42,5.7,0.062,31.0,173.0,0.992,3.35,0.63,10.4,6
1,6.6,0.25,0.49,2.1,0.068,39.0,124.0,0.9981,3.34,0.42,11.9,7
2,6.2,0.16,0.55,6.9,0.057,21.0,82.0,0.9957,3.32,0.63,9.1,7
3,6.4,0.18,0.45,12.8,0.045,39.0,108.0,0.9982,3.31,0.43,10.2,6
4,6.8,0.2,0.51,9.7,0.147,38.0,132.0,0.9929,3.05,0.54,10.4,6
5,6.9,0.25,0.29,6.2,0.039,29.0,191.0,0.9961200000000001,3.13,0.59,9.7,6
6,7.2,0.21,0.32,4.75,0.043,37.0,213.0,0.98951,3.09,0.41,11.5,6
7,6.0,0.19,0.29,8.6,0.048,50.0,147.0,0.98966,3.3,0.42,10.0,6
8,6.6,0.38,0.25,10.8,0.044000000000000004,25.0,78.0,0.9874200000000001,3.11,0.36,9.8,6
9,7.4,0.2,0.49,1.2,0.038,44.0,111.0,0.99092,3.36,0.63,11.7,6
0,6.8,0.22,0.34,1.4,0.092,30.0,123.0,0.9951,3.03,0.3,11.0,6
1,6.0,0.19,0.32,12.4,0.048,50.0,147.0,0.9928,3.3,0.56,13.6,6
2,7.0,0.47,0.23,2.7,0.035,17.0,151.0,0.99097,3.02,0.39,9.1,5
3,6.6,0.38,0.4,11.25,0.044000000000000004,25.0,78.0,0.9905799999999999,3.11,0.44,11.3,6
4,7.2,0.24,0.5,2.6,0.038,31.0,122.0,0.9964,3.15,0.37,10.0,6
5,6.2,0.35,0.31,1.6,0.064,29.0,120.0,0.9978,3.22,0.35,8.7,5
6,6.4,0.26,0.38,4.9,0.04,27.0,124.0,0.9961,3.22,0.65,13.6,7
7,6.7,0.25,0.22,7.9,0.040999999999999995,81.0,174.0,0.99772,3.14,0.32,11.5,5
8,6.7,0.23,0.37,8.3,0.046,30.0,96.0,0.9904799999999999,3.33,0.45,11.3,8
9,7.4,0.24,0.32,2.0,0.05,21.0,105.0,0.99295,3.13,0.32,11.4,5
0,6.2,0.27,0.47,1.4,0.055999999999999994,48.0,244.0,0.9927799999999999,3.1,0.59,12.4,6
1,6.8,0.3,0.28,1.3,0.061,50.5,238.5,0.9953,3.32,0.52,10.5,5
2,6.0,0.27,0.31,14.2,0.063,31.0,201.0,0.9908,3.69,0.34,11.5,5
3,8.6,0.23,0.3,4.5,0.054000000000000006,9.0,72.0,1.0006,2.95,0.53,11.0,6
4,6.7,0.23,0.51,7.9,0.046,30.0,96.0,0.99771,3.33,0.5,10.5,8
5,7.4,0.24,0.24,1.3,0.05,21.0,105.0,0.99375,3.13,0.47,9.2,5
6,7.1,0.18,0.29,8.9,0.043,31.0,87.0,0.9899399999999999,3.26,0.4,11.4,7
7,7.0,0.32,0.28,1.7,0.042,20.0,69.0,0.9908799999999999,3.31,0.36,8.8,7
8,7.4,0.18,0.27,7.4,0.064,26.0,103.0,0.99082,2.94,0.38,11.6333333333333,5
9,6.7,0.54,0.24,10.4,0.06,21.0,105.0,0.9921200000000001,3.27,0.54,12.2,5
0,6.8,0.22,0.26,1.3,0.053,34.0,114.0,0.993,3.39,0.51,9.4,6
1,7.1,0.2,0.41,1.5,0.05,51.0,166.0,0.9896,3.21,0.43,9.4,6
2,7.1,0.34,0.48,3.2,0.063,47.0,164.0,0.9915,3.17,0.52,9.7,5
3,7.3,0.22,0.32,1.3,0.047,42.0,207.0,0.9912,3.33,0.31,11.0,6
4,7.1,0.43,0.45,1.2,0.045,54.0,155.0,0.9943799999999999,3.11,0.49,9.8,5
5,7.1,0.44,0.36,9.2,0.044000000000000004,52.0,152.0,0.998,3.12,0.62,10.7,6
6,7.2,0.39,0.26,4.55,0.044000000000000004,55.0,156.0,0.9966,3.09,0.49,12.5,6
7,6.8,0.25,0.26,19.5,0.05,69.0,202.0,0.99406,3.22,0.57,9.9,6
8,7.1,0.43,0.28,8.15,0.045,54.0,155.0,0.99216,3.11,0.79,10.6,5
9,7.1,0.44,0.48,6.3,0.044000000000000004,52.0,152.0,0.9893,3.12,0.59,10.966666666666699,6
